Category,libraryId,Author,Title,Editor / translator,Publisher,Publication year,Edition,ISBN,Language,Reference URL
Psychology,meerloo-01,"Meerloo, Joost A.M.","The Rape of the Mind: The Psychology of Thought Control, Menticide, and Brainwashing",,,,,,,
Psychology,ortega-y-gasset-01,"Ortega y Gasset, José",The Revolt of the Masses,,,,,,,
Psychology,von-franz-02,"von Franz, Marie-Louise",Alchemical Active Imagination: Revised Edition (C. G. Jung Foundation Books Series),,,,,,,
Psychology,von-franz-03,"von Franz, Marie-Louise",On Divination and Synchronicity: The Psychology of Meaningful Chance (Studies in Jungian Psychology),,,,,,,
Reference,aarts-01,"Aarts, Bas",Oxford Modern English Grammar,,,,,,,
Reference,barfield-03,"Barfield, Owen",History in English Words,,,,,,,
Reference,bodmer-01,"Bodmer, Frederick",The Loom of Language: An Approach to the Mastery of Many Languages,,,,,,,
Reference,chisholm-01,,1911 Encyclopedia Britannica: Complete 33 Volume 11th Edition + 12th Edition Supplement,"Chisholm, Hugh; Hooper, Franklin Henry",,,,,,
Religion,carter-01,"Carter, Jesse Benedict",The Religion of Numa,,,,,,,
Religion,asa-g-01,"Asa G., Hilliard III",The Teachings of Ptahhotep: The Oldest Book in the World,,,,,,,
Religion,david-neel-02,"David-Neel, Alexandra",Magic and Mystery in Tibet,,,,,,,
Religion,david-neel-03,"David-Neel, Alexandra",The Secret Oral Teachings in Tibetan Buddhist Sects,,,,,,,
Esotericism,de-xing-01,De Xing,The 49 Barriers of Cultivating the Dao,"Hausen, Johan",,,,,,
Religion,dundes-01,"Dundes, Alan",The Study of Folklore,,,,,,,
Religion,easwaran-01,"Easwaran, Eknath",The Bhagavad Gita (Easwaran's Classics of Indian Spirituality Book 1,,,,,,,
Religion,easwaran-02,"Easwaran, Eknath",The Upanishads,,,,,,,
Religion,eliade-01,"Eliade, Mircea","A History of Religious Ideas, Vol. 1: From the Stone Age to the Eleusinian Mysteries",,,,,,,
Religion,eliade-02,"Eliade, Mircea","A History of Religious Ideas, Vol. 2: From Gautama Buddha to the Triumph of Christianity",,,,,,,
Religion,eliade-03,"Eliade, Mircea","A History of Religious Ideas, Vol. 3: From Muhammad to the Age of Reforms",,,,,,,
Religion,eliade-04,"Eliade, Mircea",Rites and Symbols of Initiation,"Taske, Willard R. (translator); Meade, Michael (foreword)",Spring Publications,2017,,9780882140612,en,https://www.amazon.com/dp/0882140612
Religion,frazer-01,"Frazer, James George",The Golden Bough 12 Volume Set (Cambridge Library Collection - Classics),,,,,,,
Religion,graves-02,"Graves, Robert",The White Goddess: A Historical Grammar of Poetic Myth (FSG Classics),,,,,,,
Religion,guthrie-01,"Guthrie, W. K. C.",Orpheus and Greek Religion: A Study of the Orphic Movement,"Alderlink, L. (editor)",Princeton University Press,1993,Reprint,9780691024998,en,https://press.princeton.edu/books/paperback/9780691024998/orpheus-and-greek-religion
Religion,guthrie-02,"Guthrie, Kenneth Sylvan",The Pythagorean Sourcebook and Library,"Fideler, David R. (editor)",Phanes Press,1987,New Edition,9780933999510,en,https://redwheelweiser.com/book/the-pythagorean-sourcebook-and-library-9780933999510/
